iter	RMSE
0	448.9354322
1	431.9786841
2	418.1504338
3	403.3279465
4	387.978369
5	371.7688185
6	359.1362635
7	346.1441782
8	334.1997548
9	321.4793961
10	312.2786941
11	302.0896811
12	292.4061137
13	283.4516838
14	276.9736068
15	269.4599471
16	263.4941164
17	256.2451571
18	249.46944
19	243.3389054
20	236.4349697
21	231.2925604
22	224.8890321
23	220.5217995
24	216.6077762
25	211.5826506
26	206.8942924
27	202.5655844
28	198.0441643
29	193.8876594
30	189.7343032
31	185.9109554
32	183.2048302
33	179.1752615
34	175.312013
35	172.095789
36	168.5137666
37	165.539749
38	162.3870298
39	160.3556884
40	158.0316922
41	154.9530437
42	152.938741
43	150.3048443
44	148.5475644
45	146.8740069
46	143.6738346
47	141.1855159
48	138.3357015
49	136.0022284
50	133.6206372
51	132.1130956
52	130.5915268
53	129.6112942
54	127.1591337
55	126.0537461
56	125.350274
57	124.1521856
58	122.3883486
59	120.3278195
60	118.3777769
61	117.5426203
62	116.9389132
63	115.765426
64	114.4020487
65	113.1106494
66	112.7062375
67	110.6304751
68	109.9312562
69	109.374013
70	107.8546604
71	105.6671939
72	104.5927755
73	104.1873492
74	103.7041022
75	103.1252848
76	102.3501919
77	100.5949774
78	100.1795223
79	99.78726075
80	99.43556791
81	99.10559416
82	98.76542197
83	96.80283365
84	94.44182134
85	94.12648559
86	91.75533091
87	89.96578484
88	89.69180483
89	88.27138869
90	87.97933252
91	87.70160255
92	86.14005486
93	84.62745336
94	84.39066146
95	84.03744225
96	83.85173087
97	82.68055175
98	82.45665296
99	81.81479554
100	81.235736
101	79.83534534
102	78.071229
103	77.87020417
104	76.25189153
105	76.10985899
106	74.59011293
107	73.22618482
108	71.80609285
109	70.63134729
110	69.56566542
111	68.51808019
112	67.27644803
113	66.2743579
114	66.02311518
115	64.99288468
116	64.88747836
117	63.74171244
118	62.80272956
119	62.07031645
120	60.92384425
121	60.46347182
122	59.58349976
123	58.35344473
124	57.46193337
125	57.27173195
126	56.23185079
127	55.34955335
128	55.20881099
129	55.06637913
130	54.25811617
131	54.17004518
132	54.10481105
133	53.99106281
134	53.06145992
135	52.50651473
136	52.13939535
137	51.8212632
138	50.98489229
139	50.42664255
140	49.89293704
141	49.24823923
142	48.51141749
143	47.77217965
144	47.09963023
145	46.44499628
146	45.79058277
147	45.14957218
148	44.70067428
149	43.87771043
150	42.95284728
151	42.76808026
152	42.01042667
153	41.66522119
154	41.18194824
155	40.45108026
156	39.74209786
157	39.0958803
158	38.38876241
159	37.7927892
160	37.22073571
161	37.05195155
162	36.54137129
163	36.4074788
164	36.36730337
165	36.01888386
166	35.94996419
167	35.50025334
168	35.14211579
169	34.78162218
170	34.25545158
171	33.61470157
172	33.40007592
173	32.89285483
174	32.42495138
175	31.96740543
176	31.66714578
177	31.07839938
178	30.52666672
179	30.11069106
180	29.75884879
181	29.30812976
182	29.22725342
183	28.80169731
184	28.40002803
185	27.98570652
186	27.51484311
187	27.35386229
188	27.25012958
189	26.90332264
190	26.51274669
191	26.43251619
192	26.16738692
193	25.86966203
194	25.51578553
195	25.24880979
196	24.99983038
197	24.89588509
198	24.80793388
199	24.38131407
