iter	Passed	Remaining
0	6	1360
1	12	1265
2	18	1239
3	26	1284
4	32	1286
5	39	1277
6	45	1262
7	51	1230
8	58	1239
9	64	1228
10	70	1208
11	76	1196
12	82	1190
13	87	1165
14	93	1158
15	98	1135
16	102	1108
17	107	1084
18	111	1058
19	115	1035
20	119	1015
21	122	994
22	126	974
23	130	956
24	134	938
25	138	927
26	142	913
27	147	904
28	151	891
29	155	879
30	158	866
31	162	852
32	165	838
33	169	826
34	172	814
35	176	802
36	179	791
37	184	785
38	187	773
39	190	763
40	194	754
41	199	748
42	202	741
43	206	732
44	210	726
45	214	718
46	218	712
47	223	708
48	227	700
49	232	696
50	235	688
51	238	680
52	245	680
53	249	674
54	254	671
55	258	664
56	262	657
57	265	649
58	270	645
59	273	637
60	276	630
61	279	622
62	282	613
63	285	606
64	288	598
65	291	590
66	293	583
67	296	575
68	299	569
69	302	562
70	305	555
71	308	547
72	310	539
73	313	532
74	316	526
75	319	520
76	321	514
77	324	507
78	327	501
79	330	495
80	331	486
81	334	480
82	336	474
83	339	468
84	342	463
85	345	458
86	348	452
87	351	446
88	352	440
89	355	434
90	357	428
91	360	422
92	362	417
93	365	412
94	367	406
95	370	401
96	371	394
97	373	389
98	376	384
99	379	379
100	382	374
101	385	370
102	387	365
103	390	360
104	393	355
105	394	349
106	397	345
107	401	341
108	404	337
109	407	333
110	411	329
111	414	325
112	418	322
113	422	318
114	423	312
115	426	308
116	428	304
117	431	300
118	434	295
119	437	291
120	440	287
121	443	283
122	446	279
123	449	275
124	451	271
125	455	267
126	458	263
127	460	259
128	461	254
129	462	248
130	464	244
131	465	239
132	466	234
133	468	230
134	471	227
135	474	223
136	477	219
137	479	215
138	482	211
139	485	207
140	487	204
141	490	200
142	493	196
143	496	192
144	499	189
145	502	185
146	504	182
147	507	178
148	510	174
149	512	170
150	516	167
151	518	163
152	521	160
153	522	156
154	525	152
155	528	148
156	530	145
157	533	141
158	536	138
159	539	134
160	541	131
161	544	127
162	547	124
163	550	120
164	550	116
165	553	113
166	554	109
167	556	106
168	559	102
169	562	99
170	565	95
171	568	92
172	571	89
173	573	85
174	577	82
175	579	79
176	582	75
177	586	72
178	589	69
179	593	65
180	596	62
181	599	59
182	602	56
183	614	53
184	629	51
185	636	47
186	642	44
187	651	41
188	658	38
189	663	34
190	669	31
191	675	28
192	678	24
193	681	21
194	684	17
195	688	14
196	691	10
197	694	7
198	697	3
199	704	0
